No,Brand,Nama Mobil,Tahun,Seri/Varian,Harga Baru (Rp),Harga Second (Rp),Jenis Energi (Bensin/Diesel/Hybrid/Listrik),Konsumsi BBM atau Jarak Tempuh EV,Kategori,Transmisi
23,Daihatsu,Gran Max PU,2025,1.5 AC PS,172000000,145000000,Bensin,11 km/l,Commercial,Manual
24,Daihatsu,Sirion,2025,1.3 R CVT,239000000,210000000,Bensin,17 km/l,Hatchback,CVT
25,Daihatsu,Luxio,2025,1.5 X MT,259000000,220000000,Bensin,11 km/l,MPV,Manual
26,Honda,Brio Satya,2025,S MT,167000000,145000000,Bensin,19 km/l,Hatchback,Manual
27,Honda,Brio Satya,2025,E CVT,184000000,160000000,Bensin,18 km/l,Hatchback,CVT
28,Honda,Brio RS,2025,CVT,245000000,215000000,Bensin,17 km/l,Hatchback,CVT
29,Honda,HR-V,2025,1.5 S CVT,385000000,340000000,Bensin,15 km/l,SUV,CVT
30,Honda,HR-V,2025,1.5 SE CVT,418000000,375000000,Bensin,15 km/l,SUV,CVT
31,Mitsubishi,Xpander,2025,GLS MT,263000000,230000000,Bensin,14 km/l,MPV,Manual
32,Mitsubishi,Xpander,2025,Ultimate CVT,315000000,280000000,Bensin,15 km/l,MPV,CVT
33,Mitsubishi,Xpander Cross,2025,Premium Package CVT,345000000,305000000,Bensin,14 km/l,MPV,CVT
34,Mitsubishi,Pajero Sport,2025,Exceed 4x2 AT,560000000,510000000,Diesel,11 km/l,SUV,Automatic
35,Mitsubishi,Pajero Sport,2025,Dakar 4x2 AT,635000000,580000000,Diesel,12 km/l,SUV,Automatic
36,Mitsubishi,Pajero Sport,2025,Dakar Ultimate 4x2 AT,685000000,625000000,Diesel,12 km/l,SUV,Automatic
37,Mitsubishi,Triton,2025,HDX D-Cab 4x4 MT,440000000,395000000,Diesel,10 km/l,Pickup,Manual
38,Mitsubishi,Xforce,2025,Exceed CVT,385000000,345000000,Bensin,15 km/l,SUV,CVT
39,Mitsubishi,Xforce,2025,Ultimate CVT,415000000,375000000,Bensin,15 km/l,SUV,CVT
40,Suzuki,Ertiga,2025,GL MT,255000000,220000000,Bensin,15 km/l,MPV,Manual
41,Suzuki,Ertiga Hybrid,2025,GX AT,298000000,260000000,Hybrid,19 km/l,MPV,Automatic
42,Suzuki,XL7 Hybrid,2025,Alpha AT,308000000,270000000,Hybrid,18 km/l,SUV,Automatic
43,Suzuki,Grand Vitara,2025,GX Hybrid AT,390000000,345000000,Hybrid,17 km/l,SUV,Automatic
44,Suzuki,Baleno,2025,1.5 AT,285000000,245000000,Bensin,16 km/l,Hatchback,Automatic
45,Suzuki,S-Presso,2025,1.0 AGS,180000000,155000000,Bensin,20 km/l,Hatchback,AGS
46,Suzuki,Jimny,2025,5-Door AT,480000000,440000000,Bensin,12 km/l,SUV,Automatic
47,Suzuki,Carry Pick-Up,2025,Flat Deck Standard,170000000,145000000,Bensin,12 km/l,Commercial,Manual
48,Hyundai,Stargazer,2025,Active MT,249000000,215000000,Bensin,14 km/l,MPV,Manual
49,Hyundai,Stargazer,2025,Prime IVT,320000000,280000000,Bensin,16 km/l,MPV,IVT
50,Hyundai,Stargazer X,2025,Prime IVT,340000000,300000000,Bensin,15 km/l,MPV,IVT
51,Hyundai,Creta,2025,Trend IVT,315000000,275000000,Bensin,15 km/l,SUV,IVT
52,Hyundai,Creta,2025,Prime IVT,412000000,360000000,Bensin,15 km/l,SUV,IVT
53,Hyundai,Ioniq 5,2025,Signature Long Range,895000000,750000000,Listrik,481 km,SUV,Automatic
54,Hyundai,Ioniq 6,2025,Signature AWD,1220000000,1050000000,Listrik,524 km,Sedan,Automatic
55,Hyundai,Santa Fe,2025,Prime Turbo Diesel AT,690000000,620000000,Diesel,14 km/l,SUV,Automatic
56,Hyundai,Palisade,2025,Signature 4x2 AT,910000000,830000000,Diesel,12 km/l,SUV,Automatic
57,Nissan,Magnite,2025,Premium CVT,310000000,265000000,Bensin,16 km/l,SUV,CVT
58,Nissan,Kicks e-Power,2025,VL Hybrid,515000000,440000000,Hybrid,22 km/l,SUV,Automatic
59,Nissan,Serena,2025,e-Power Highway Star C28,635000000,580000000,Hybrid,18 km/l,MPV,Automatic
60,Nissan,Leaf,2025,One Tone EV,738000000,520000000,Listrik,311 km,Hatchback,Automatic
61,Wuling,Air EV,2025,Lite,190000000,160000000,Listrik,200 km,Hatchback,Automatic
62,Wuling,Air EV,2025,Standard Range,224000000,190000000,Listrik,200 km,Hatchback,Automatic
63,Wuling,Air EV,2025,Long Range,275000000,230000000,Listrik,300 km,Hatchback,Automatic
64,Wuling,Binguo EV,2025,Long Range 333 km,360000000,310000000,Listrik,333 km,Hatchback,Automatic
65,Wuling,Binguo EV,2025,Premium Range 410 km,410000000,355000000,Listrik,410 km,Hatchback,Automatic
66,Wuling,Cloud EV,2025,460 km,400000000,360000000,Listrik,460 km,Hatchback,Automatic
67,Wuling,Almaz,2025,RS Pro Turbo,400000000,340000000,Bensin,11 km/l,SUV,CVT
68,Wuling,Almaz Hybrid,2025,2.0 DHT,475000000,410000000,Hybrid,19 km/l,SUV,DHT
69,Wuling,Alvez,2025,EX CVT,300000000,260000000,Bensin,15 km/l,SUV,CVT
70,Wuling,Confero S,2025,1.5 C MY Lux MT,207000000,170000000,Bensin,13 km/l,MPV,Manual
71,Chery,Omoda 5,2025,Z,335000000,295000000,Bensin,14 km/l,SUV,CVT
72,Chery,Omoda 5,2025,RZ,405000000,355000000,Bensin,14 km/l,SUV,CVT
73,Chery,Omoda E5,2025,Electric SUV,498000000,440000000,Listrik,430 km,SUV,Automatic
74,Chery,Tiggo 7 Pro,2025,Premium,430000000,370000000,Bensin,12 km/l,SUV,CVT
75,Chery,Tiggo 8 Pro,2025,Premium,530000000,460000000,Bensin,11 km/l,SUV,Automatic
76,BYD,Dolphin,2025,Premium Extended,425000000,380000000,Listrik,490 km,Hatchback,Automatic
77,BYD,Atto 3,2025,Superior,515000000,460000000,Listrik,480 km,SUV,Automatic
78,BYD,Seal,2025,Premium RWD,629000000,570000000,Listrik,650 km,Sedan,Automatic
79,BYD,Seal,2025,Performance AWD,719000000,650000000,Listrik,580 km,Sedan,Automatic
80,BYD,M6,2025,Superior 7-Seater,429000000,390000000,Listrik,500 km,MPV,Automatic
81,MG,4 EV,2025,Magnify,433000000,385000000,Listrik,425 km,Hatchback,Automatic
82,MG,ZS EV,2025,Ignite,453000000,405000000,Listrik,403 km,SUV,Automatic
83,MG,VS HEV,2025,Magnify,389000000,330000000,Hybrid,18 km/l,SUV,E-CVT
84,DFSK,Gelora E,2025,Electric Blind Van,350000000,290000000,Listrik,300 km,Commercial,Automatic
85,DFSK,Glory 560,2025,1.5 T Luxury MT,275000000,210000000,Bensin,12 km/l,SUV,Manual
86,GWM,Haval H6,2025,HEV Ultra,600000000,540000000,Hybrid,18 km/l,SUV,DHT
87,GWM,Tank 500,2025,HEV Performance,1196000000,1080000000,Hybrid,11 km/l,SUV,Automatic
88,GWM,Haval Jolion,2025,HEV Ultra,448000000,395000000,Hybrid,20 km/l,SUV,DHT
89,Isuzu,Mu-X,2025,1.9 4x4 AT,600000000,550000000,Diesel,11 km/l,SUV,Automatic
90,Honda,CR-V,2025,2.0 e:HEV RS,816000000,745000000,Hybrid,22 km/l,SUV,e-CVT
91,Mazda,CX-3,2025,1.5 Sport,399000000,350000000,Bensin,15 km/l,SUV,Automatic
92,Mazda,CX-5,2025,Elite,633000000,570000000,Bensin,12 km/l,SUV,Automatic
93,Mazda,Mazda 3,2025,Hatchback,565000000,500000000,Bensin,14 km/l,Hatchback,Automatic
94,Mazda,CX-30,2025,GT,575000000,510000000,Bensin,13 km/l,SUV,Automatic
95,Mazda,CX-60,2025,Kuro AWD,1188000000,1050000000,Hybrid,12 km/l,SUV,Automatic
96,Kia,Sonet,2025,Premiere IVT,345000000,295000000,Bensin,16 km/l,SUV,IVT
97,Kia,Carens,2025,1.5 MPI Premiere,410000000,350000000,Bensin,14 km/l,MPV,IVT
98,Kia,EV6,2025,GT-Line,1300000000,1100000000,Listrik,506 km,SUV,Automatic
99,VinFast,VF e34,2025,Electric SUV,315000000,270000000,Listrik,318 km,SUV,Automatic
100,VinFast,VF 5,2025,Electric Hatchback,250000000,215000000,Listrik,300 km,Hatchback,Automatic
101,BMW,iX1,2025,eDrive20 M Sport,1330000000,1180000000,Listrik,475 km,SUV,Automatic
102,BMW,320i,2025,Sport,1080000000,950000000,Bensin,13 km/l,Sedan,Automatic
103,Mercedes-Benz,EQA 250,2025,Electric AMG Line,1040000000,920000000,Listrik,496 km,SUV,Automatic
104,Mercedes-Benz,C 200,2025,Avantgarde Line,1050000000,930000000,Bensin,14 km/l,Sedan,Automatic
105,Lexus,LM 350h,2025,2.5 Hybrid CVT,2100000000,1950000000,Hybrid,16 km/l,MPV,CVT
106,Lexus,RX 350h,2025,Luxury,1700000000,1550000000,Hybrid,15 km/l,SUV,CVT
107,Volvo,XC40 Recharge,2025,Pure Electric,1000000000,880000000,Listrik,438 km,SUV,Automatic
108,Volvo,XC90 Recharge,2025,Plug-in Hybrid,1800000000,1600000000,Hybrid,25 km/l,SUV,Automatic
